"","GEOID","county","state","Tmean_attr_number","Tmean_total_Rt","Tmean_attr_percent","Tmean_attr_percent_low","Tmean_attr_percent_high","AH_attr_number","AH_total_Rt","AH_attr_percent","AH_attr_percent_low","AH_attr_percent_high","UV_attr_number","UV_total_Rt","UV_attr_percent","UV_attr_percent_low","UV_attr_percent_high"
"1","10001","Kent County","Delaware",14.5648091816064,367.27,3.9656953145115,1.26575189084982,6.54271846323317,31.6668266221823,367.27,8.62221978985005,5.78250100235961,11.1367778100296,16.6188920811178,367.27,4.52497946500336,1.99881878052862,6.71551229988578
"2","10003","New Castle County","Delaware",14.8890507446966,377.56,3.94349262228429,1.24478417965148,6.31093887153852,34.2316389111716,377.56,9.06654277761723,6.35317820174176,11.8300237516407,17.573853972029,377.56,4.65458575379516,2.18674684893672,7.07009110298859
"3","10005","Sussex County","Delaware",16.8144066670977,430.28,3.90778252930596,1.40943730345798,6.28341865716656,35.8656144552608,430.28,8.33541286029116,5.88103347915395,10.7671144443173,19.435440545535,430.28,4.51692863845287,2.12056929422935,6.82324339322979
"4","1001","Autauga County","Alabama",16.7221211726496,439.71,3.80298859990666,1.73677288906733,5.94168709875269,35.9424741813774,439.71,8.17413162797694,5.78234072760308,10.4921078949128,19.542282884628,439.71,4.44435716372791,2.22078714483577,6.95313094864754
"5","1003","Baldwin County","Alabama",15.3849518377673,418.32,3.67779495069977,1.81657842604674,5.49293305292731,26.7272338982365,418.32,6.38918385404392,4.50048470415728,8.32839038812795,18.957831963492,418.32,4.53189710353127,2.23831123461426,6.91250786043976
"6","1005","Barbour County","Alabama",17.4675984226012,494.17,3.53473469101751,1.56398502016878,5.36771610540332,39.6342403647809,494.17,8.02036553509539,5.5818458756973,10.364109603086,22.3349565305633,494.17,4.51969090203033,2.11203661452356,6.93234130292213
"7","1007","Bibb County","Alabama",17.6814300273556,467.39,3.7830141910087,1.75561433245245,6.05716649275237,38.6742827838274,467.39,8.27452080357461,5.78947167796579,10.6160482337909,21.115758032638,467.39,4.51780269852543,1.97544137139586,6.86815854105218
"8","1009","Blount County","Alabama",20.5251624527269,514.95,3.98585541367645,1.67832323542175,6.39595352252397,44.5007394640283,514.95,8.64175929003366,5.99736524711223,11.1147184752344,23.9742150396007,514.95,4.65563939015451,1.93296842798547,7.080397740448
"9","1011","Bullock County","Alabama",11.9525687382053,332.75,3.59205672072284,1.62229532864629,5.50842874277781,27.1785454700169,332.75,8.16785739144009,5.71283492621559,10.5921657700258,14.9305107483045,332.75,4.4870054840885,2.30782596379222,6.83509638628286
"10","1013","Butler County","Alabama",15.3610270507902,419.53,3.66148476885806,1.61807045659494,5.62697404353333,32.6344752549366,419.53,7.77881802372575,5.49128982038644,10.0531443915555,18.9326864370414,419.53,4.51283255954077,2.23917432922522,6.87474344202255
"11","1015","Calhoun County","Alabama",17.0171599464226,430.86,3.94957989751256,1.7947839926988,6.24077851674605,36.7094410048181,430.86,8.52003922499607,5.88854058698594,10.9740234632005,20.2762767523858,430.86,4.70600119583758,2.11899663627659,7.17548574298262
"12","1017","Chambers County","Alabama",19.353916089105,526.01,3.67938177774281,1.72486864039279,5.63782343849377,42.2281436448636,526.01,8.02801156724465,5.74364076985271,10.2461265069995,24.2938915030657,526.01,4.61852274729867,2.4437376846453,7.0559902927034
"13","1019","Cherokee County","Alabama",21.8838675967044,554.9,3.94374979216154,1.51114303015422,6.13014392604472,47.5059567963975,554.9,8.56117440915436,6.00490398568956,11.0380953376875,25.7856807845805,554.9,4.64690589017489,2.2592679669665,7.13568987355152
"14","1021","Chilton County","Alabama",20.1189217095983,520.62,3.86441583296806,1.57550455622734,5.94027892719167,43.576574644671,520.62,8.37013073732684,5.91863925173988,10.6257992600294,23.6118881536401,520.62,4.53534020084517,2.18714236315923,6.8007322024416
"15","1023","Choctaw County","Alabama",12.7923317649334,343.64,3.72259683533158,1.70055646766995,5.88925987395816,24.6757661919349,343.64,7.18070253519233,5.19279179740431,9.253912868935,15.4512694097156,343.64,4.49635357051437,2.04401862163317,6.82096166113352
"16","1025","Clarke County","Alabama",18.0816779547682,478.41,3.77953595342243,1.58860902938989,5.95631838198255,37.8519703423133,478.41,7.91203577314716,5.56494919554804,10.2262810587748,21.9176050134262,478.41,4.58134341117999,2.13023778513018,7.0952078025299
"17","1027","Clay County","Alabama",16.9542958475035,428.82,3.95370921307391,1.63713791266567,6.32574952329846,37.3727988920761,428.82,8.71526488784947,6.04124409723958,11.1594624128141,19.5503886500975,428.82,4.55911306611107,2.23147825984152,7.03440278892977
"18","1029","Cleburne County","Alabama",20.385797498947,517.43,3.93981746302824,1.70530618545403,5.9686670469549,44.8547465318849,517.43,8.66875645631001,6.26408458276744,11.1193215660634,24.2256511418166,517.43,4.68191854778744,2.21846257285503,7.24305963450345
"19","1031","Coffee County","Alabama",17.7904070392975,488.8,3.63960864142748,1.62057053654208,5.60774616446074,37.6801335452665,488.8,7.70870162546369,5.36928561009743,9.95137811016905,22.5399994855624,488.8,4.61129285711179,2.16346717726981,6.96413971629836
"20","1033","Colbert County","Alabama",19.4189138621656,494.15,3.92976097585056,1.54931997116083,6.32798792907755,41.6886433154618,494.15,8.43643495203112,6.01597317194988,10.6619357763647,22.6575711345885,494.15,4.58516060600799,2.18575243698284,7.09300210544155
"21","1035","Conecuh County","Alabama",14.8548292631694,418.12,3.55276697196244,1.55376797695385,5.33681370989813,31.0603883102975,418.12,7.42858229941105,5.16769856192898,9.59800060141235,18.9318146097725,418.12,4.52784239208182,2.12502653246441,6.73311433951272
