,GEOID,popdensity,medhouseholdincome,pct_blk,hispanic,pct_owner_occ,education
1301,26141,19.4272431,46439,0.005548175,0.013128077,0.865262454,0.108761026
1302,26143,45.9266419,40302,0.001507727,0.017757675,0.827779236,0.101005823
1303,26145,240.7617471,46919,0.186603243,0.083780307,0.722519649,0.105099714
1304,26147,221.2100124,55240,0.021263928,0.033096023,0.773108191,0.095113943
1305,26149,121.6496765,50117,0.021971526,0.077343712,0.753871967,0.128938915
1306,26151,42.98508685,45277,0.005848801,0.036712104,0.801949568,0.121425399
1307,26153,6.885570659,40747,0.005081175,0.010038419,0.821495078,0.098915544
1308,26155,128.9991724,54742,0.005781613,0.029127064,0.774389578,0.075565223
1309,26157,66.17396004,47694,0.011812207,0.033408451,0.828161186,0.106576382
1310,26159,123.8383536,52351,0.033159741,0.114066319,0.778933905,0.128384041
1311,26161,518.387477,69434,0.11776938,0.046450305,0.608507723,0.047541489
1312,26163,2879.126275,45321,0.388954809,0.058591492,0.647038985,0.140875944
1313,26165,58.61160146,44166,0.007157742,0.019057111,0.75938868,0.10515743
1314,27001,8.691456441,45989,0.005620816,0.01351522,0.839704069,0.089850384
1315,27003,823.3711555,79923,0.058995887,0.044123869,0.818777995,0.06096734
1316,27005,25.68136411,59278,0.005507358,0.01995677,0.783499698,0.073533235
1317,27007,18.41223774,47410,0.011362404,0.023071752,0.70384661,0.086528902
1318,27009,97.42716906,56357,0.033233616,0.02270042,0.687976656,0.076453061
1319,27011,10.04859232,51920,0.000398724,0.015948963,0.805931095,0.097808219
1320,27013,88.69180821,55861,0.034664214,0.034754682,0.652526079,0.058620511
1321,27015,41.25467239,57728,0.007377732,0.042679783,0.789463921,0.074341915
1322,27017,41.26320708,60390,0.017698368,0.017585819,0.798566997,0.058882839
1323,27019,283.5049658,97895,0.017118786,0.041387827,0.816211122,0.03610175
1324,27021,14.35692057,50173,0.004307077,0.02139756,0.833110144,0.083001328
1325,27023,20.66479678,54552,0.006827644,0.068692756,0.725052471,0.093284936
1326,27025,131.9048022,80409,0.012772489,0.020940304,0.854237288,0.056743029
1327,27027,60.08552779,65000,0.031034538,0.044521584,0.695946856,0.051220089
1328,27029,8.822398065,46291,0.003858375,0.020540172,0.801814573,0.143070045
1329,27031,3.656299411,52271,0.004518923,0.022594615,0.748997594,0.033793432
1330,27033,17.76958279,53354,0.007474499,0.074217376,0.773522751,0.096397898
1331,27035,63.95991406,54508,0.00750137,0.014454624,0.761917566,0.06262386
1332,27037,743.4131465,83288,0.059210762,0.069789407,0.764882283,0.051338358
1333,27039,46.85436971,71669,0.002380721,0.050092314,0.827882038,0.052061703
1334,27041,58.42631472,60676,0.004757681,0.015966454,0.759107855,0.049666503
1335,27043,19.50385434,52286,0.001799079,0.066781808,0.798268121,0.084413627
1336,27045,24.2519319,59451,0.004883187,0.01541555,0.798829725,0.08728058
1337,27047,43.16203711,52447,0.013365656,0.096245823,0.765652273,0.101485149
1338,27049,61.07677166,64765,0.011229634,0.033385984,0.773037907,0.056511284
