"","GEOID","FIPS","pm25_2014","pm25_2015","pm25_2016","pm25_2017","pm25_2018"
"0","48081","48081",6.17747771638249,6.25411672470735,5.84566933591813,4.62265584386994,4.18066395952272
"1","48273","48273",6.66273011179776,7.40579302081549,6.60084660275823,5.77691801823435,6.21660577838773
"2","48203","48203",6.90094340428082,6.82459245355223,6.07217074484102,5.10240283438857,5.91202896089448
"3","48223","48223",7.46875830069259,7.21408246111836,6.83833084232169,5.99756503141703,6.72700896455675
"4","48033","48033",5.53218740866624,5.55501248445595,4.97460225122318,4.02415706497074,3.7463938855479
"5","48419","48419",6.97707463063414,6.53442476053871,6.43180239099246,5.47736315903842,6.57934524013341
"6","48067","48067",6.8068796326234,6.72953149302867,5.99914620302749,5.11529819335854,5.94252473145647
"7","48025","48025",6.59950470204422,7.49290384069756,6.53901291250523,5.62238947301879,6.65111268456435
"8","51167","51167",5.97983606907396,5.35048232244016,5.62752940809062,3.60143415255604,3.34827339814626
"9","51187","51187",7.10466939373448,6.99557974995511,6.22480458286259,4.65489809985177,5.20305150997746
"10","51165","51165",6.27836990675341,5.97657980315862,4.82911572484618,3.62075341809811,3.97859444282863
"11","51195","51195",5.66364953230372,4.77766130806436,5.12803955713956,2.97586608646178,2.77510772984347
"12","51083","51083",7.69647530252481,7.08654122752879,6.32397304563899,5.19843780212883,4.95865825580542
"13","51053","51053",7.57400881544038,7.35407207157707,6.53057555953694,5.88633776094676,5.36783198790362
"14","51117","51117",7.8191038614195,7.15675854614657,6.51029311673454,5.50684196958949,5.042842416236
"15","51031","51031",7.25098595796338,6.53908558082906,5.52770766929297,4.26578669262483,4.29719040680759
"16","51007","51007",7.48034038345951,7.38424605082103,6.23969204969902,5.46393826863607,5.0284039749118
"17","51036","51036",7.98175264896518,7.61146111190913,6.84009684275033,6.45065032158959,5.82074431995489
"18","51017","51017",5.48919010339999,5.33853260309425,4.53027460493897,3.16374279041062,3.05263317129445
"19","51127","51127",8.02357460884771,7.57499616477284,6.79922101276032,6.27046452969456,5.84950634482406
"20","51181","51181",7.54145352214387,7.38771730794422,6.41057276313256,6.11974832312091,5.44692191850256
"21","51790","51790",6.88617382101586,6.489484568123,5.29834460261354,4.01425883427341,4.52780284596351
"22","31185","31185",6.03034810762487,5.25819279784593,4.18788334098571,4.00830448116577,4.42671407811022
"23","12075","12075",7.45360411802057,6.79825713392521,7.17559609220064,6.30499983390206,5.9040091063663
"24","31183","31183",3.66138390075764,3.68082593258293,2.89162264278302,3.10924431578948,3.09224813133806
"25","05119","5119",8.29954680052604,7.94110023211135,6.80802465917976,6.44722399335403,7.38297912243405
"26","05075","5075",8.45001433782833,8.35088850953564,7.45019363991134,6.93985735526307,7.67892467371185
"27","05093","5093",9.52250843383492,9.36415915246548,7.99278469447968,7.38115676687853,8.19260814220254
"28","05001","5001",9.10771625905834,8.36821057840265,7.35625058551438,6.35121235634222,7.3871082302107
"29","05081","5081",6.93923305578964,6.853553863001,6.30581437761141,5.63104847821734,6.55809456975573
"30","05121","5121",8.03092033310592,7.86279325734563,6.81681930192422,6.21029486142986,7.14911778544099
"31","05067","5067",8.95716121336613,9.02584206705798,7.87553123485127,7.33555680619736,7.73664426348292
"32","05103","5103",7.30186918161231,7.05705340264636,6.2666358242933,5.9032602605216,6.49564641560186
"33","05107","5107",9.30556376156898,8.4600899358771,7.60274916348631,6.4200965424796,7.66950101188654
"34","05003","5003",8.25855740838443,7.59835317114764,6.90677222504285,6.02699474790469,7.29826352399048
"35","22055","22055",8.30207769020178,8.60148051462835,8.73398870600693,8.45164517396414,9.73580145342707
"36","22069","22069",7.31659979340297,7.1930021940481,6.88978496205545,6.13016392740885,7.28307304808967
"37","22097","22097",8.11006765160656,8.09416665586316,8.08179804635893,8.14669634648523,8.84827842747372
"38","22099","22099",8.05088776291482,8.27012677930242,8.38754802101278,7.76607493596699,8.8828378970713
"39","22105","22105",8.01462932985192,7.44527241243092,7.07207352420177,6.59099050664418,7.03837028363739
"40","22057","22057",7.77300988653726,7.72046267260693,7.43606083521311,6.96109553648189,7.47167228888615
"41","22085","22085",7.0987572663582,6.90438487151906,6.64835817594669,5.86314807466653,7.2364994305908
"42","22015","22015",7.07546465828232,6.78843525596172,6.25949429910584,5.57047373291408,6.32216348912821
"43","22111","22111",7.64850841995942,6.87794342719655,6.38932792114308,5.81293041526158,6.82992808592896
"44","22039","22039",7.95147218475151,8.13504996377886,8.0077053965127,7.80375821177022,9.00634131994356
"45","22063","22063",8.54338678393245,8.01922822111285,7.77696270476655,7.27122313736978,8.02474185379612
"46","22051","22051",8.32277441012688,8.19239502657884,7.4404503524509,7.22946139597027,7.84906166784418
"47","22077","22077",8.272962877191,8.13329359708242,8.00132374392613,7.87048367344726,8.20791182925023
"48","22065","22065",8.09814971370769,7.56052908784675,7.13387705457484,6.22007366137986,7.34440622360106
"49","22029","22029",8.20402261472418,7.84925410488434,7.56021927974534,6.9819874733386,7.73156398768695
"50","22075","22075",7.58918223442484,7.51769381680621,6.99793139631182,6.54423118040611,6.76567678266257
"51","33007","33007",3.62319816227374,3.28582617368032,2.55744130369548,2.59708761635096,2.28794545519848
"52","34013","34013",8.96762265508613,9.12948147185277,8.25751225520147,7.96090847627172,8.65380013173315
"53","34019","34019",7.85009755928911,7.40688017392899,7.84242219957065,6.32521062445963,6.48512911368918
"54","29019","29019",6.23468565982622,6.57104513691549,5.26372004300916,4.84568565745561,5.51989792162471
"55","29207","29207",9.48737276726235,9.21288765579719,7.91779588217738,6.89433953515486,8.08532620488265
"56","29029","29029",5.93095361194213,5.56200018032591,4.94998936633032,4.23587943579266,4.91364475972187
"57","30029","30029",3.2156804780461,4.40054365192602,2.33969301586233,5.38813636094679,3.67817504828837
"58","29099","29099",8.31491932873186,6.11675712312111,6.0290304337445,5.57134908471763,6.64890744113992
"59","29033","29033",6.41906387961325,7.33805938635873,5.22839192990718,4.80061611594899,5.77392837615275
"60","29157","29157",8.70084737522195,6.97855682531246,6.46442470372544,5.86516752988423,6.71714470657401
"61","29013","29013",7.20931915428495,6.84205702477448,5.93207214454649,5.24442607419707,5.91093854623455
"62","30053","30053",2.8775638686221,4.27895335007397,2.03454280649663,4.86353582066432,4.47832606602003
"63","30045","30045",2.58234214656931,3.76572322945716,1.97707686518969,3.49870542902082,3.12597192848216
"64","30093","30093",2.62113996404662,3.67295717477527,2.26364285304608,4.92553732665818,2.03499858856696
"65","29195","29195",6.48463240098705,7.14725091111483,5.41428279944683,4.88123243778667,5.8347435633128
"66","29041","29041",6.17287466628452,7.10615338285504,5.2694706342402,4.81653864694214,5.77395537672809
"67","30075","30075",3.30436710442649,3.99325416321341,2.31713418142661,3.55115382783885,3.13907275851534
"68","30087","30087",3.12498953540348,3.97149148871578,2.19401917827127,3.70487452076527,4.07963063998916
