,GEOID,date.100pop
615,16071,7/9/2020
616,80016,NA
617,16073,6/17/2020
618,16075,6/4/2020
619,16077,6/9/2020
620,16079,7/15/2020
621,16081,6/19/2020
622,16083,4/16/2020
623,90016,NA
624,16085,6/30/2020
625,16087,5/14/2020
626,17001,6/24/2020
627,17003,5/6/2020
628,17005,7/7/2020
629,17007,4/23/2020
630,17009,5/9/2020
631,17011,7/10/2020
632,17013,7/24/2020
633,17015,5/30/2020
634,17017,4/24/2020
635,17019,5/5/2020
636,17021,5/23/2020
637,17023,7/8/2020
638,17025,8/2/2020
639,17027,4/13/2020
640,17029,5/12/2020
641,17031,4/1/2020
642,17033,7/10/2020
643,17035,6/27/2020
644,17039,7/8/2020
645,17037,5/1/2020
646,17041,5/3/2020
647,17043,4/9/2020
648,17045,7/11/2020
649,17047,7/28/2020
650,17049,7/15/2020
651,17051,6/10/2020
652,17053,5/9/2020
653,17055,7/9/2020
654,17057,8/11/2020
655,17059,7/10/2020
656,17061,7/17/2020
657,17063,5/8/2020
658,17065,7/19/2020
659,17067,6/8/2020
660,17069,7/17/2020
661,17071,5/12/2020
662,17073,5/1/2020
663,17075,5/1/2020
664,17077,4/26/2020
665,17079,4/19/2020
666,17081,4/22/2020
667,17083,5/31/2020
668,17085,5/20/2020
669,17087,6/9/2020
670,17089,4/17/2020
671,17091,4/8/2020
672,17093,4/18/2020
673,17095,5/2/2020
674,17099,5/13/2020
675,17097,4/5/2020
676,17101,7/16/2020
677,17103,5/5/2020
678,17105,6/3/2020
679,17107,7/16/2020
680,17115,4/29/2020
681,17117,5/29/2020
682,17119,4/24/2020
683,17121,5/6/2020
684,17123,7/7/2020
685,17125,5/4/2020
686,17127,7/2/2020
687,17109,5/3/2020
688,17111,4/18/2020
689,17113,5/18/2020
690,17129,5/3/2020
691,17131,5/27/2020
692,17133,4/9/2020
693,17135,5/4/2020
694,17137,5/14/2020
695,17139,6/14/2020
696,17141,4/20/2020
697,80017,NA
698,17143,5/26/2020
699,17145,4/30/2020
700,17147,6/18/2020
701,17149,8/5/2020
702,17151,7/25/2020
703,17153,4/16/2020
704,17155,7/24/2020
705,17157,4/9/2020
706,17159,8/7/2020
707,17161,4/16/2020
708,17165,7/16/2020
709,17167,5/1/2020
710,17169,5/9/2020
711,17171,7/23/2020
712,17173,7/15/2020
713,17163,4/18/2020
714,17175,7/7/2020
715,17177,5/1/2020
716,17179,7/1/2020
717,90017,NA
718,17181,4/30/2020
719,17183,7/3/2020
720,17185,6/6/2020
721,17187,4/22/2020
722,17189,5/5/2020
723,17191,7/11/2020
724,17193,7/15/2020
725,17195,4/25/2020
726,17197,4/6/2020
727,17199,5/31/2020
728,17201,4/25/2020
729,17203,7/8/2020
730,18001,6/20/2020
731,18003,4/23/2020
732,18005,4/11/2020
733,18007,5/2/2020
734,18009,5/6/2020
735,18011,4/7/2020
736,18013,5/1/2020
737,18015,4/29/2020
738,18017,4/17/2020
739,18019,4/14/2020
740,18021,5/15/2020
741,18023,4/28/2020
742,18025,4/8/2020
743,18027,4/19/2020
744,18033,4/13/2020
745,18029,4/9/2020
746,18031,3/28/2020
747,18035,4/21/2020
748,18037,5/10/2020
749,18039,4/24/2020
750,18041,4/25/2020
751,18043,4/9/2020
752,18045,5/16/2020
753,18047,3/28/2020
754,18049,4/27/2020
755,18051,6/29/2020
756,18053,4/19/2020
757,18055,4/16/2020
758,18057,4/7/2020
759,18059,4/7/2020
760,18061,4/7/2020
761,18063,4/5/2020
762,18065,5/4/2020
763,18067,4/25/2020
764,18069,6/4/2020
765,18071,4/8/2020
766,18073,4/24/2020
767,18075,5/9/2020
768,18077,5/8/2020
769,18079,4/3/2020
770,18081,4/5/2020
771,18083,6/16/2020
772,18085,5/25/2020
773,18087,5/12/2020
774,18091,4/16/2020
775,18089,4/9/2020
776,18093,4/8/2020
777,18095,4/7/2020
778,18097,4/1/2020
779,18099,5/20/2020
780,18101,5/29/2020
781,18103,4/24/2020
782,18105,5/17/2020
783,18107,4/29/2020
784,18109,4/6/2020
785,18111,4/12/2020
786,18113,4/24/2020
787,18115,5/4/2020
788,18117,4/16/2020
789,80018,NA
790,18119,4/16/2020
791,18121,5/10/2020
792,18123,5/11/2020
793,18125,7/14/2020
794,18127,4/19/2020
795,18129,6/22/2020
796,18131,4/26/2020
797,18133,4/14/2020
798,18135,5/13/2020
799,18137,3/31/2020
800,18139,4/13/2020
801,18143,4/19/2020
802,18145,4/6/2020
803,18147,6/2/2020
804,18141,4/15/2020
805,18149,5/12/2020
806,18151,5/4/2020
807,18153,5/13/2020
808,18155,4/6/2020
809,18157,5/6/2020
810,18159,4/24/2020
811,90018,NA
812,18161,4/13/2020
813,18163,5/9/2020
814,18165,7/9/2020
815,18167,5/17/2020
816,18169,4/29/2020
817,18171,4/24/2020
818,18173,4/21/2020
819,18175,4/19/2020
820,18177,5/23/2020
821,18179,5/30/2020
822,18181,4/26/2020
823,18183,5/23/2020
824,19001,5/24/2020
825,19003,5/22/2020
826,19005,4/2/2020
827,19007,5/26/2020
828,19009,5/5/2020
829,19011,4/25/2020
830,19013,4/17/2020
831,19015,5/4/2020
832,19017,4/18/2020
833,19019,5/5/2020
834,19021,5/8/2020
835,19023,5/22/2020
836,19025,6/5/2020
837,19027,6/12/2020
838,19029,6/5/2020
839,19031,4/9/2020
840,19033,6/15/2020
841,19035,5/23/2020
842,19037,6/2/2020
843,19039,5/14/2020
844,19041,6/1/2020
845,19043,5/2/2020
846,19045,4/24/2020
847,19047,4/28/2020
848,19049,4/24/2020
849,19051,5/9/2020
850,19053,6/16/2020
851,19055,6/3/2020
852,19057,5/10/2020
853,19059,5/29/2020
854,19061,4/30/2020
855,19063,5/28/2020
856,19065,4/29/2020
857,19067,5/23/2020
858,19069,5/29/2020
859,19071,6/28/2020
860,19073,5/2/2020
861,19075,5/2/2020
862,19077,4/30/2020
863,19079,5/21/2020
864,19081,5/22/2020
865,19083,5/31/2020
866,19085,4/22/2020
867,19087,4/13/2020
868,19089,4/29/2020
869,19091,5/22/2020
870,19093,5/18/2020
871,19095,4/26/2020
872,19097,6/24/2020
873,19099,4/20/2020
874,19101,5/27/2020
875,19103,4/9/2020
876,19105,4/30/2020
877,19107,5/17/2020
878,19109,6/5/2020
879,19111,6/9/2020
880,19113,4/11/2020
881,19115,4/7/2020
882,19117,5/28/2020
883,19119,4/30/2020
884,19121,5/20/2020
885,19123,5/16/2020
886,19125,6/2/2020
887,19127,4/14/2020
888,19129,5/25/2020
889,19131,6/25/2020
890,19133,5/1/2020
891,19135,5/11/2020
892,19137,6/19/2020
893,19139,4/7/2020
894,19141,5/9/2020
895,19143,4/23/2020
896,80019,NA
897,19145,6/6/2020
898,19147,6/9/2020
899,19149,5/4/2020
900,19151,5/27/2020
901,19153,4/24/2020
902,19155,5/13/2020
903,19157,4/23/2020
904,19159,6/9/2020
905,19161,5/23/2020
906,19163,4/21/2020
907,19165,5/3/2020
908,19167,5/8/2020
909,19169,5/28/2020
910,19171,4/2/2020
911,19173,5/23/2020
912,90019,NA
913,19175,6/22/2020
914,19177,4/13/2020
915,19179,5/3/2020
916,19181,5/13/2020
917,19183,3/31/2020
918,19185,6/25/2020
919,19187,5/29/2020
920,19189,5/27/2020
921,19191,4/26/2020
922,19193,4/23/2020
923,19195,6/22/2020
924,19197,5/17/2020
925,20001,7/28/2020
926,20003,7/9/2020
927,20005,5/20/2020
928,20007,8/17/2020
929,20009,5/14/2020
930,20011,6/25/2020
931,20013,6/12/2020
932,20015,7/4/2020
933,20017,4/28/2020
934,20019,4/28/2020
935,20021,6/23/2020
936,20023,8/7/2020
937,20025,5/4/2020
938,20027,7/6/2020
939,20029,6/26/2020
940,20031,3/30/2020
941,20033,5/29/2020
942,20035,6/12/2020
943,20037,6/14/2020
944,20039,7/15/2020
945,20041,7/9/2020
946,20043,5/10/2020
947,20045,6/26/2020
948,20047,4/29/2020
949,20049,9/20/2020
950,20051,7/8/2020
951,20053,7/6/2020
952,20055,4/20/2020
953,20057,4/16/2020
954,20059,5/11/2020
955,20061,6/18/2020
956,20063,7/24/2020
957,20065,7/8/2020
958,20067,5/6/2020
959,20069,5/4/2020
960,20071,7/15/2020
961,20073,5/29/2020
962,20075,5/2/2020
963,20077,7/20/2020
964,20079,6/29/2020
965,20081,4/23/2020
966,20083,5/29/2020
967,20085,5/14/2020
968,20087,5/18/2020
969,20089,4/12/2020
970,20091,5/11/2020
971,20093,4/21/2020
972,20095,7/29/2020
973,20097,6/3/2020
974,20099,4/15/2020
975,20101,5/25/2020
976,20103,4/12/2020
977,20105,7/13/2020
978,20107,5/29/2020
979,20109,9/4/2020
980,20111,4/16/2020
981,20115,7/8/2020
982,20117,8/10/2020
983,20113,6/3/2020
984,20119,4/30/2020
985,20121,7/3/2020
986,20123,7/10/2020
987,20125,6/25/2020
988,20127,7/17/2020
989,20129,4/28/2020
990,20131,5/24/2020
991,20133,6/19/2020
992,20135,6/1/2020
993,20137,7/3/2020
994,20139,7/6/2020
995,20141,7/31/2020
996,20143,6/29/2020
997,80020,NA
998,20145,7/15/2020
999,20147,7/2/2020
1000,20149,5/29/2020
1001,20151,6/27/2020
1002,20153,9/16/2020
1003,20155,6/28/2020
1004,20157,6/23/2020
1005,20159,7/13/2020
1006,20161,6/14/2020
1007,20163,4/25/2020
1008,20165,7/13/2020
1009,20167,7/23/2020
1010,20169,6/24/2020
1011,20171,5/13/2020
1012,20173,5/14/2020
1013,20175,4/17/2020
1014,20177,5/13/2020
1015,20179,6/17/2020
1016,20181,5/16/2020
1017,20183,8/31/2020
1018,20185,8/10/2020
1019,20187,4/17/2020
1020,20189,4/23/2020
1021,20191,7/10/2020
1022,20193,6/22/2020
1023,20195,7/13/2020
1024,90020,NA
1025,20197,4/9/2020
1026,20199,8/27/2020
1027,20201,8/31/2020
1028,20203,7/29/2020
1029,20205,8/5/2020
1030,20207,4/15/2020
1031,20209,4/6/2020
1032,21001,4/14/2020
1033,21003,5/7/2020
1034,21005,6/6/2020
1035,21007,4/28/2020
1036,21009,5/29/2020
1037,21011,6/27/2020
1038,21013,7/7/2020
1039,21015,4/30/2020
1040,21017,6/10/2020
1041,21019,6/19/2020
1042,21021,6/18/2020
1043,21023,5/1/2020
1044,21025,7/10/2020
1045,21027,6/12/2020
1046,21029,5/9/2020
1047,21031,4/14/2020
1048,21033,4/24/2020
1049,21035,5/11/2020
1050,21037,5/3/2020
1051,21039,5/21/2020
1052,21041,5/29/2020
1053,21043,7/3/2020
1054,21045,6/29/2020
1055,21047,4/15/2020
1056,21049,5/22/2020
1057,21051,6/17/2020
1058,21053,7/19/2020
1059,21055,6/30/2020
1060,21057,7/12/2020
1061,21059,4/16/2020
1062,21061,4/25/2020
1063,21063,7/24/2020
1064,21065,8/4/2020
1065,21067,5/7/2020
1066,21069,6/26/2020
1067,21071,7/7/2020
1068,21073,6/2/2020
1069,21075,5/29/2020
1070,21077,5/27/2020
1071,21079,6/27/2020
1072,21081,5/5/2020
1073,21083,4/18/2020
1074,21085,4/24/2020
1075,21087,7/14/2020
1076,21089,7/6/2020
1077,21091,6/12/2020
1078,21093,6/4/2020
1079,21095,7/3/2020
1080,21097,5/9/2020
1081,21099,5/23/2020
1082,21101,4/27/2020
1083,21103,5/26/2020
1084,21105,5/5/2020
1085,21107,4/9/2020
1086,21109,4/15/2020
1087,21111,4/19/2020
1088,21113,5/26/2020
1089,21115,7/26/2020
1090,21117,4/21/2020
1091,21119,7/10/2020
1092,21121,6/27/2020
1093,21123,6/26/2020
1094,21125,6/24/2020
1095,21127,7/20/2020
1096,21129,8/21/2020
1097,21131,7/3/2020
1098,21133,7/16/2020
1099,21135,6/15/2020
1100,21137,6/27/2020
1101,21139,6/28/2020
1102,21141,5/8/2020
1103,21143,4/12/2020
1104,21151,6/20/2020
1105,21153,7/25/2020
1106,21155,5/28/2020
1107,21157,4/27/2020
1108,21159,7/10/2020
1109,21161,6/18/2020
1110,21145,5/7/2020
1111,21147,6/29/2020
1112,21149,4/24/2020
1113,21163,7/6/2020
1114,21165,5/22/2020
1115,21167,6/26/2020
1116,21169,7/2/2020
1117,21171,5/23/2020
1118,21173,6/6/2020
1119,21175,7/12/2020
1120,21177,4/14/2020
1121,21179,6/10/2020
1122,21181,7/3/2020
1123,21183,4/22/2020
1124,21185,5/27/2020
1125,80021,NA
1126,21187,7/14/2020
1127,21189,7/23/2020
1128,21191,6/23/2020
1129,21193,6/19/2020
1130,21195,6/19/2020
1131,21197,7/14/2020
1132,21199,6/6/2020
1133,21201,7/29/2020
1134,21203,6/21/2020
1135,21205,7/11/2020
1136,21207,5/8/2020
1137,21209,6/19/2020
1138,21211,5/11/2020
1139,21213,4/16/2020
1140,21215,5/30/2020
1141,21217,6/20/2020
1142,21219,5/5/2020
1143,21221,6/12/2020
1144,21223,7/9/2020
1145,90021,NA
1146,21225,6/2/2020
1147,21227,4/24/2020
1148,21229,6/13/2020
1149,21231,7/14/2020
1150,21233,4/18/2020
1151,21235,7/6/2020
1152,21237,7/25/2020
1153,21239,5/29/2020
1154,22001,4/3/2020
1155,22003,4/2/2020
1156,22005,3/29/2020
1157,22007,4/1/2020
1158,22009,4/7/2020
1159,22011,4/30/2020
1160,22013,4/6/2020
1161,22015,4/5/2020
1162,22017,3/31/2020
1163,22019,4/9/2020
